origin,destination,distance_km
Seattle,London,7722.8514444773955
Seattle,Paris,8065.268963088573
Seattle,Brussels,7967.048359158854
Seattle,Amsterdam,7848.845562318525
London,Seattle,7722.8514444773955
London,Paris,344.0853285663696
London,Brussels,321.70632456300615
London,Amsterdam,358.3363486205834
Paris,Seattle,8065.268963088573
Paris,London,344.0853285663696
Paris,Brussels,264.3627875928243
Paris,Amsterdam,430.8764192278379
Brussels,Seattle,7967.048359158854
Brussels,London,321.70632456300615
Brussels,Paris,264.3627875928243
Brussels,Amsterdam,173.92138373524676
Amsterdam,Seattle,7848.845562318525
Amsterdam,London,358.3363486205834
Amsterdam,Paris,430.8764192278379
Amsterdam,Brussels,173.92138373524676
