type,origin,destination,departure,arrival,carrier,price
flight,SEA,JFK,2025-10-01T23:40:00,2025-10-02T08:00:00,B6,394.00
flight,SEA,BOS,2025-10-01T11:45:00,2025-10-01T20:38:00,B6,394.00
flight,SEA,JFK,2025-10-01T23:40:00,2025-10-02T08:00:00,B6,399.60
flight,SEA,KEF,2025-10-01T19:00:00,2025-10-02T09:25:00,FI,408.80
flight,SEA,KEF,2025-10-01T15:45:00,2025-10-02T06:15:00,FI,408.80
flight,SEA,KEF,2025-10-01T15:45:00,2025-10-02T06:15:00,FI,408.80
flight,SEA,KEF,2025-10-01T19:00:00,2025-10-02T09:25:00,FI,408.80
flight,SEA,KEF,2025-10-01T15:45:00,2025-10-02T06:15:00,FI,408.80
flight,SEA,YYC,2025-10-01T08:40:00,2025-10-01T11:37:00,WS,417.00
flight,SEA,EWR,2025-10-01T22:54:00,2025-10-02T07:09:00,UA,444.00
flight,SEA,LHR,2025-10-01T17:35:00,2025-10-02T11:20:00,VS,454.00
flight,SEA,LHR,2025-10-01T20:25:00,2025-10-02T14:15:00,VS,454.00
flight,SEA,SLC,2025-10-01T13:30:00,2025-10-01T16:40:00,VS,454.00
flight,SEA,SFO,2025-10-01T17:45:00,2025-10-01T20:05:00,VS,454.00
flight,SEA,SLC,2025-10-01T11:15:00,2025-10-01T14:22:00,VS,454.00
flight,SEA,BOS,2025-10-01T07:50:00,2025-10-01T16:22:00,VS,454.00
flight,SEA,JFK,2025-10-01T07:45:00,2025-10-01T16:20:00,VS,454.00
flight,SEA,SFO,2025-10-01T13:40:00,2025-10-01T16:04:00,VS,454.00
flight,SEA,DEN,2025-10-01T15:35:00,2025-10-01T19:19:00,UA,454.00
flight,SEA,DEN,2025-10-01T12:43:00,2025-10-01T16:30:00,UA,454.00
flight,SEA,EWR,2025-10-01T06:00:00,2025-10-01T14:23:00,UA,454.00
flight,SEA,DEN,2025-10-01T08:42:00,2025-10-01T16:35:00,UA,454.00
flight,SEA,DEN,2025-10-01T08:30:00,2025-10-01T12:13:00,UA,454.00
flight,SEA,DEN,2025-10-01T11:10:00,2025-10-01T14:58:00,UA,454.00
flight,SEA,DEN,2025-10-01T11:10:00,2025-10-01T14:58:00,UA,454.00
flight,SEA,SFO,2025-10-01T15:28:00,2025-10-01T17:45:00,UA,454.00
flight,SEA,SFO,2025-10-01T08:42:00,2025-10-01T10:59:00,UA,454.00
flight,SEA,YUL,2025-10-01T07:15:00,2025-10-01T15:28:00,UA,454.00
flight,SEA,SFO,2025-10-01T07:00:00,2025-10-01T09:20:00,UA,454.00
flight,SEA,YUL,2025-10-01T07:15:00,2025-10-01T15:28:00,UA,454.00
flight,SEA,IAD,2025-10-01T08:00:00,2025-10-01T16:09:00,UA,454.00
flight,SEA,YUL,2025-10-01T07:15:00,2025-10-01T15:28:00,AC,454.00
flight,SEA,YUL,2025-10-01T07:15:00,2025-10-01T15:28:00,AC,454.00
flight,SEA,EWR,2025-10-01T06:00:00,2025-10-01T14:23:00,UA,454.00
flight,SEA,IAD,2025-10-01T08:00:00,2025-10-01T16:09:00,UA,454.00
flight,SEA,YYZ,2025-10-01T12:00:00,2025-10-01T19:44:00,AC,460.60
flight,SEA,YYZ,2025-10-01T12:00:00,2025-10-01T19:44:00,AC,460.60
flight,SEA,YYZ,2025-10-01T12:00:00,2025-10-01T19:44:00,UA,460.60
flight,SEA,YYZ,2025-10-01T12:00:00,2025-10-01T19:44:00,UA,460.60
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,UA,477.60
flight,SEA,LHR,2025-10-01T17:35:00,2025-10-02T11:20:00,KL,480.00
flight,SEA,LHR,2025-10-01T20:25:00,2025-10-02T14:15:00,KL,480.00
flight,SEA,LHR,2025-10-01T17:35:00,2025-10-02T11:20:00,AF,480.00
flight,SEA,LHR,2025-10-01T20:25:00,2025-10-02T14:15:00,AF,480.00
flight,SEA,JFK,2025-10-01T11:25:00,2025-10-01T20:05:00,AF,480.00
flight,SEA,BOS,2025-10-01T07:50:00,2025-10-01T16:22:00,AF,480.00
flight,SEA,BOS,2025-10-01T07:50:00,2025-10-01T16:22:00,AF,480.00
flight,SEA,LAX,2025-10-01T14:25:00,2025-10-01T17:12:00,AF,480.00
flight,SEA,JFK,2025-10-01T11:25:00,2025-10-01T20:05:00,AF,480.00
flight,SEA,JFK,2025-10-01T11:25:00,2025-10-01T20:05:00,AF,480.00
flight,SEA,JFK,2025-10-01T07:45:00,2025-10-01T16:20:00,AF,480.00
