datetime,origin,destination,price
2025-04-01T06:00:00,Seattle,London,799
2025-04-01T18:00:00,Seattle,London,630
2025-04-02T06:00:00,Seattle,London,1108
2025-04-02T18:00:00,Seattle,London,1011
2025-04-03T06:00:00,Seattle,London,787
2025-04-03T18:00:00,Seattle,London,1019
2025-04-04T06:00:00,Seattle,London,1269
2025-04-04T18:00:00,Seattle,London,1142
2025-04-05T06:00:00,Seattle,London,691
2025-04-05T18:00:00,Seattle,London,794
2025-04-06T06:00:00,Seattle,London,721
2025-04-06T18:00:00,Seattle,London,1182
2025-04-07T06:00:00,Seattle,London,1062
2025-04-07T18:00:00,Seattle,London,784
2025-04-08T06:00:00,Seattle,London,727
2025-04-08T18:00:00,Seattle,London,1083
2025-04-09T06:00:00,Seattle,London,602
2025-04-09T18:00:00,Seattle,London,1099
2025-04-10T06:00:00,Seattle,London,557
2025-04-10T18:00:00,Seattle,London,846
2025-04-11T06:00:00,Seattle,London,728
2025-04-11T18:00:00,Seattle,London,799
2025-04-12T06:00:00,Seattle,London,1050
2025-04-12T18:00:00,Seattle,London,714
2025-04-13T06:00:00,Seattle,London,898
2025-04-13T18:00:00,Seattle,London,967
2025-04-14T06:00:00,Seattle,London,1015
2025-04-14T18:00:00,Seattle,London,1084
2025-04-15T06:00:00,Seattle,London,937
2025-04-15T18:00:00,Seattle,London,779
2025-04-16T06:00:00,Seattle,London,1035
2025-04-16T18:00:00,Seattle,London,706
2025-04-17T06:00:00,Seattle,London,783
2025-04-17T18:00:00,Seattle,London,959
2025-04-18T06:00:00,Seattle,London,1131
2025-04-18T18:00:00,Seattle,London,860
2025-04-19T06:00:00,Seattle,London,1230
2025-04-19T18:00:00,Seattle,London,634
2025-04-20T06:00:00,Seattle,London,658
2025-04-20T18:00:00,Seattle,London,1031
2025-04-21T06:00:00,Seattle,London,678
2025-04-21T18:00:00,Seattle,London,752
2025-04-22T06:00:00,Seattle,London,736
2025-04-22T18:00:00,Seattle,London,1115
2025-04-23T06:00:00,Seattle,London,955
2025-04-23T18:00:00,Seattle,London,662
2025-04-24T06:00:00,Seattle,London,706
2025-04-24T18:00:00,Seattle,London,655
2025-04-25T06:00:00,Seattle,London,1049
2025-04-25T18:00:00,Seattle,London,751
2025-04-26T06:00:00,Seattle,London,835
2025-04-26T18:00:00,Seattle,London,999
2025-04-27T06:00:00,Seattle,London,1099
2025-04-27T18:00:00,Seattle,London,987
2025-04-28T06:00:00,Seattle,London,726
2025-04-28T18:00:00,Seattle,London,1159
2025-04-29T06:00:00,Seattle,London,1069
2025-04-29T18:00:00,Seattle,London,744
2025-04-30T06:00:00,Seattle,London,1190
2025-04-30T18:00:00,Seattle,London,1192
2025-05-01T06:00:00,Seattle,London,648
2025-05-01T18:00:00,Seattle,London,931
2025-05-02T06:00:00,Seattle,London,779
2025-05-02T18:00:00,Seattle,London,1034
2025-05-03T06:00:00,Seattle,London,856
2025-05-03T18:00:00,Seattle,London,1133
2025-05-04T06:00:00,Seattle,London,1237
2025-05-04T18:00:00,Seattle,London,983
2025-05-05T06:00:00,Seattle,London,799
2025-05-05T18:00:00,Seattle,London,693
2025-05-06T06:00:00,Seattle,London,836
2025-05-06T18:00:00,Seattle,London,711
2025-05-07T06:00:00,Seattle,London,661
2025-05-07T18:00:00,Seattle,London,726
2025-05-08T06:00:00,Seattle,London,836
2025-05-08T18:00:00,Seattle,London,857
2025-05-09T06:00:00,Seattle,London,605
2025-05-09T18:00:00,Seattle,London,984
2025-05-10T06:00:00,Seattle,London,630
2025-05-10T18:00:00,Seattle,London,956
2025-05-11T06:00:00,Seattle,London,593
2025-05-11T18:00:00,Seattle,London,687
2025-05-12T06:00:00,Seattle,London,618
2025-05-12T18:00:00,Seattle,London,941
