type,origin,destination,departure,arrival,carrier,price
flight,SEA,IAD,2025-10-01T08:00:00,2025-10-01T16:09:00,UA,398.00
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,UA,424.40
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,UA,424.40
flight,SEA,JFK,2025-10-01T22:55:00,2025-10-02T07:23:00,VS,448.00
flight,SEA,JFK,2025-10-01T15:30:00,2025-10-02T00:10:00,VS,453.60
flight,SEA,ATL,2025-10-01T15:20:00,2025-10-01T23:16:00,VS,453.60
flight,SEA,YYZ,2025-10-01T12:00:00,2025-10-01T19:44:00,AC,454.60
flight,SEA,ORD,2025-10-01T15:05:00,2025-10-01T21:15:00,IB,502.00
flight,SEA,DFW,2025-10-01T09:57:00,2025-10-01T15:55:00,IB,502.00
flight,SEA,DFW,2025-10-01T07:42:00,2025-10-01T13:45:00,IB,502.00
flight,SEA,ORD,2025-10-01T07:00:00,2025-10-01T13:04:00,IB,502.00
flight,SEA,LHR,2025-10-01T20:20:00,2025-10-02T13:40:00,IB,505.60
flight,SEA,LHR,2025-10-01T13:30:00,2025-10-02T06:50:00,IB,505.60
flight,SEA,DFW,2025-10-01T09:50:00,2025-10-01T15:42:00,AY,508.00
flight,SEA,DFW,2025-10-01T07:55:00,2025-10-01T13:47:00,AY,508.00
flight,SEA,YYZ,2025-10-01T12:20:00,2025-10-01T20:04:00,UA,604.60
flight,SEA,JFK,2025-10-01T08:55:00,2025-10-01T17:29:00,AS,618.00
flight,SEA,JFK,2025-10-01T06:55:00,2025-10-01T15:29:00,AS,618.00
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,UA,620.30
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,LH,639.30
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,LH,643.40
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,LH,643.40
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,685.90
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,691.50
flight,SEA,LAX,2025-10-01T12:50:00,2025-10-01T15:32:00,IB,854.00
flight,SEA,LAX,2025-10-01T11:55:00,2025-10-01T14:40:00,IB,854.00
flight,SEA,IST,2025-10-01T19:05:00,2025-10-02T17:00:00,TK,862.10
flight,SEA,IST,2025-10-01T19:05:00,2025-10-02T17:00:00,TK,862.10
flight,SEA,DFW,2025-10-01T14:01:00,2025-10-01T20:00:00,IB,912.00
flight,SEA,ATL,2025-10-01T06:00:00,2025-10-01T13:58:00,VS,1037.00
flight,SEA,DUB,2025-10-01T18:45:00,2025-10-02T11:45:00,EI,1173.50
flight,SEA,DUB,2025-10-01T18:45:00,2025-10-02T11:45:00,EI,1183.80
flight,SEA,ORD,2025-10-01T07:00:00,2025-10-01T13:04:00,IB,2650.00
flight,SEA,ORD,2025-10-01T06:26:00,2025-10-01T12:35:00,IB,2650.00
flight,SEA,LHR,2025-10-01T13:30:00,2025-10-02T06:50:00,IB,3161.60
flight,SEA,LHR,2025-10-01T20:20:00,2025-10-02T13:40:00,IB,3161.60
flight,SEA,LHR,2025-10-01T13:30:00,2025-10-02T06:50:00,IB,3169.40
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,UA,406.30
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,UA,410.40
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,UA,410.40
flight,SEA,DCA,2025-10-01T10:50:00,2025-10-01T21:03:00,UA,439.60
flight,SEA,YYZ,2025-10-01T12:00:00,2025-10-01T19:44:00,AC,440.60
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,UA,506.30
flight,SEA,YUL,2025-10-01T07:20:00,2025-10-01T15:33:00,UA,853.00
flight,SEA,IST,2025-10-01T19:05:00,2025-10-02T17:00:00,TK,862.10
flight,SEA,IST,2025-10-01T19:05:00,2025-10-02T17:00:00,TK,862.10
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,UA,879.40
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,LH,894.30
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,LH,898.40
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,LH,898.40
flight,SEA,JFK,2025-10-01T06:55:00,2025-10-01T15:29:00,AS,953.00
flight,SEA,ORD,2025-10-01T07:00:00,2025-10-01T13:04:00,AS,953.00
flight,SEA,ORD,2025-10-01T09:55:00,2025-10-01T16:10:00,AS,953.00
flight,SEA,ATL,2025-10-01T07:20:00,2025-10-01T15:21:00,VS,963.00
flight,SEA,ATL,2025-10-01T07:20:00,2025-10-01T15:21:00,VS,963.00
flight,SEA,DFW,2025-10-01T07:42:00,2025-10-01T13:45:00,IB,967.00
flight,SEA,ORD,2025-10-01T06:26:00,2025-10-01T12:35:00,IB,967.00
flight,SEA,ORD,2025-10-01T07:00:00,2025-10-01T13:04:00,IB,967.00
flight,SEA,LHR,2025-10-01T13:30:00,2025-10-02T06:50:00,IB,970.60
flight,SEA,JFK,2025-10-01T21:50:00,2025-10-02T06:00:00,AS,1003.00
flight,SEA,BOS,2025-10-01T22:00:00,2025-10-02T06:31:00,VS,1013.00
flight,SEA,YYC,2025-10-01T14:05:00,2025-10-01T16:46:00,WS,1034.90
flight,SEA,YYC,2025-10-01T14:05:00,2025-10-01T16:46:00,WS,1034.90
flight,SEA,LAX,2025-10-01T17:40:00,2025-10-01T20:25:00,AS,1041.00
flight,SEA,LAX,2025-10-01T15:35:00,2025-10-01T18:16:00,AS,1041.00
flight,SEA,LAX,2025-10-01T12:50:00,2025-10-01T15:32:00,IB,1041.00
flight,SEA,LAX,2025-10-01T11:55:00,2025-10-01T14:40:00,IB,1041.00
flight,SEA,JFK,2025-10-01T22:55:00,2025-10-02T07:23:00,VS,1153.00
flight,SEA,JFK,2025-10-01T15:30:00,2025-10-02T00:10:00,VS,1158.60
flight,SEA,DUB,2025-10-01T18:45:00,2025-10-02T11:45:00,EI,1178.50
flight,SEA,FRA,2025-10-01T17:05:00,2025-10-02T12:10:00,DE,1777.50
flight,SEA,IAD,2025-10-01T08:00:00,2025-10-01T16:09:00,UA,2183.00
flight,SEA,YVR,2025-10-01T21:20:00,2025-10-01T22:22:00,WS,2232.00
flight,SEA,YVR,2025-10-01T21:20:00,2025-10-01T22:22:00,WS,2232.00
flight,SEA,YVR,2025-10-01T21:20:00,2025-10-01T22:22:00,WS,2232.00
flight,SEA,YVR,2025-10-01T21:20:00,2025-10-01T22:22:00,WS,2232.00
flight,SEA,CPH,2025-10-01T16:20:00,2025-10-02T11:00:00,SK,3104.80
flight,SEA,LHR,2025-10-01T20:20:00,2025-10-02T13:40:00,IB,3161.60
flight,SEA,LHR,2025-10-01T20:20:00,2025-10-02T13:40:00,IB,3161.60
flight,SEA,BOS,2025-10-01T10:05:00,2025-10-01T18:31:00,AS,3342.00
flight,SEA,JFK,2025-10-01T08:55:00,2025-10-01T17:29:00,AS,3342.00
flight,SEA,ORD,2025-10-01T13:57:00,2025-10-01T20:12:00,UA,4358.00
flight,SEA,YUL,2025-10-01T07:15:00,2025-10-01T15:28:00,AC,4358.00
flight,SEA,SFO,2025-10-01T13:00:00,2025-10-01T15:17:00,UA,4358.00
flight,SEA,EWR,2025-10-01T06:00:00,2025-10-01T14:23:00,UA,4358.00
flight,SEA,ORD,2025-10-01T13:55:00,2025-10-01T19:59:00,AS,4526.00
flight,SEA,EWR,2025-10-01T06:15:00,2025-10-01T14:40:00,AS,4534.00
flight,SEA,SFO,2025-10-01T13:40:00,2025-10-01T15:52:00,AS,4893.00
flight,SEA,SFO,2025-10-01T11:20:00,2025-10-01T13:38:00,AS,4893.00
flight,SEA,YUL,2025-10-01T07:15:00,2025-10-01T15:28:00,AC,610.40
flight,SEA,YYZ,2025-10-01T12:00:00,2025-10-01T19:44:00,AC,617.00
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,LH,706.70
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,852.50
flight,SEA,DFW,2025-10-01T14:01:00,2025-10-01T20:00:00,IB,1068.00
flight,SEA,ORD,2025-10-01T07:00:00,2025-10-01T13:04:00,IB,1068.00
flight,SEA,LHR,2025-10-01T13:30:00,2025-10-02T06:50:00,IB,1071.60
flight,SEA,LAX,2025-10-01T12:50:00,2025-10-01T15:32:00,IB,1109.00
flight,SEA,LAX,2025-10-01T11:55:00,2025-10-01T14:40:00,IB,1109.00
flight,SEA,ORD,2025-10-01T15:05:00,2025-10-01T21:15:00,IB,1298.00
flight,SEA,LHR,2025-10-01T13:30:00,2025-10-02T06:50:00,IB,3216.60
flight,SEA,LHR,2025-10-01T13:30:00,2025-10-02T06:50:00,IB,3216.60
flight,SEA,LHR,2025-10-01T13:30:00,2025-10-02T06:50:00,IB,3224.40
flight,SEA,LHR,2025-10-01T13:30:00,2025-10-02T06:50:00,IB,3416.60
flight,SEA,EWR,2025-10-01T08:30:00,2025-10-01T19:30:00,UA,578.00
flight,SEA,YUL,2025-10-01T07:15:00,2025-10-01T15:28:00,AC,578.00
flight,SEA,YYZ,2025-10-01T12:00:00,2025-10-01T19:44:00,AC,584.60
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,UA,604.40
flight,SEA,DCA,2025-10-01T07:00:00,2025-10-01T22:43:00,UA,643.60
flight,SEA,EWR,2025-10-01T08:30:00,2025-10-01T19:30:00,UA,697.00
flight,SEA,EWR,2025-10-01T06:00:00,2025-10-01T14:23:00,UA,713.00
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,LH,723.40
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,B6,812.60
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,LH,819.30
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,852.90
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,858.50
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,UA,874.70
flight,SEA,BOS,2025-10-01T22:00:00,2025-10-02T06:31:00,VS,880.60
flight,SEA,BOS,2025-10-01T07:20:00,2025-10-01T15:59:00,VS,903.00
